Date,Open,High,Low,Close,Adj Close,Volume
17-07-2017,50900000000,51020000000,50520000000,50640000000,43995367188,8976100
18-07-2017,50420000000,50880000000,50360000000,50840000000,44169125000,7084450
19-07-2017,50620000000,50820000000,50000000000,50740000000,44082253906,11157500
20-07-2017,50760000000,51320000000,50560000000,51200000000,44481894531,8367600
21-07-2017,50860000000,51160000000,50520000000,51080000000,44377632813,8449050
24-07-2017,50700000000,51000000000,50620000000,50860000000,44186503906,7099750
25-07-2017,50500000000,50760000000,49940000000,50000000000,43439359375,10810600
26-07-2017,49600000000,50020000000,49300000000,49840000000,43300343750,11224800
27-07-2017,50000000000,50640000000,49560000000,49800000000,43265589844,11449500
28-07-2017,49800000000,49800000000,47380000000,47760000000,41493269531,26168300
31-07-2017,47420000000,48240000000,46920000000,48200000000,41875531250,12701400
01-08-2017,48000000000,48840000000,47540000000,48600000000,42223050781,11369500
02-08-2017,49200000000,49340000000,48600000000,49000000000,42570570313,7777450
03-08-2017,49000000000,49000000000,47120000000,47780000000,41510644531,15540800
04-08-2017,48160000000,48180000000,47500000000,47700000000,41441140625,8359200
07-08-2017,47500000000,48080000000,47440000000,47580000000,41336886719,7218250
08-08-2017,47980000000,48260000000,47480000000,47720000000,41458515625,7979600
09-08-2017,47400000000,47400000000,46240000000,46280000000,40207460938,14555400
10-08-2017,46200000000,46320000000,45460000000,45900000000,39877320313,22986150
11-08-2017,45120000000,45300000000,44220000000,44620000000,38765265625,25407300
14-08-2017,45120000000,45400000000,44720000000,45000000000,39095414063,19185600
16-08-2017,46220000000,46380000000,46000000000,46200000000,40137953125,21913650
17-08-2017,46960000000,47300000000,46740000000,47040000000,40867738281,12415850
18-08-2017,46760000000,47240000000,46240000000,46900000000,40746113281,10477950
21-08-2017,47240000000,47240000000,46580000000,46840000000,40693976563,5103450
22-08-2017,46820000000,47160000000,46700000000,47000000000,40832984375,7381750
23-08-2017,47780000000,47780000000,47180000000,47480000000,41249996094,9384700
24-08-2017,47520000000,47660000000,47340000000,47520000000,41284757813,8657450
25-08-2017,47880000000,47880000000,46720000000,47020000000,40850359375,11243550
28-08-2017,47020000000,47240000000,45960000000,46100000000,40051085938,9962100
29-08-2017,45640000000,46080000000,45160000000,46080000000,40033703125,12623650
30-08-2017,46380000000,46400000000,45960000000,46200000000,40137953125,7513000
31-08-2017,46220000000,46640000000,46000000000,46320000000,40242214844,11011700
01-09-2017,46460000000,46640000000,46300000000,46480000000,40381214844,10641700
04-09-2017,45780000000,46360000000,45500000000,46040000000,39998953125,7943500
05-09-2017,46240000000,46900000000,45960000000,46760000000,40624476563,11716100
06-09-2017,46760000000,47180000000,46700000000,47000000000,40832984375,10811050
07-09-2017,47000000000,48220000000,47000000000,48120000000,41806027344,9676500
08-09-2017,48700000000,49180000000,48580000000,49080000000,42640066406,10893000
11-09-2017,49700000000,50180000000,49500000000,49800000000,43265589844,10374750
12-09-2017,50200000000,50220000000,49140000000,49600000000,43091832031,12029750
13-09-2017,49820000000,50400000000,49440000000,49620000000,43109203125,9357000
14-09-2017,50060000000,50320000000,49760000000,50300000000,43699984375,14204750
15-09-2017,50300000000,50560000000,49860000000,50400000000,43786867188,10757300
18-09-2017,50540000000,52480000000,50520000000,52480000000,45593937500,11524950
19-09-2017,52500000000,52640000000,51780000000,52120000000,45281179688,9850400
20-09-2017,52120000000,52500000000,51840000000,52220000000,45368050781,9292750
21-09-2017,52220000000,52960000000,52220000000,52800000000,45871953125,8839800
25-09-2017,53000000000,53680000000,53000000000,53620000000,46584367188,9303100
26-09-2017,53620000000,53620000000,53620000000,53620000000,46584367188,0
27-09-2017,52000000000,52200000000,51500000000,51680000000,44898914063,10797000
28-09-2017,52260000000,52460000000,51260000000,51260000000,44654992188,12025450
29-09-2017,51180000000,51620000000,50840000000,51280000000,44672410156,12909400
10-10-2017,53360000000,53640000000,52800000000,52800000000,45996550781,20519800
11-10-2017,53600000000,54760000000,53340000000,54640000000,47599464844,13652150
12-10-2017,54840000000,55160000000,54100000000,54800000000,47738851563,13890700
13-10-2017,54540000000,54840000000,53780000000,54000000000,47041937500,12601650
16-10-2017,53980000000,54860000000,53760000000,53920000000,46972238281,9769950
